0	aa	0	
	ao	3	
1	ae	1	
2	ah	2	
	ax	5	
	ax-h	6	
3	aw	4	
4	er	22	
	axr	7	
5	ay	8	
6	b	9	
7	pcl	45	
	tcl	51	
	kcl	35	
	bcl	10	
	dcl	13	
	gcl	26	
	h#	27	
	pau	44	
	epi	21	
8	ch	11	
9	d	12	
10	dh	14	
11	dx	15	
12	eh	16	
13	l	36	
	el	17	
14	m	37	
	em	18	
15	n	38	
	en	19	
	nx	40	
16	ng	39	
	eng	20	
17	ey	23	
18	f	24	
19	g	25	
20	hh	28	
	hv	29	
21	ih	30	
	ix	31	
22	iy	32	
23	jh	33	
24	k	34	
25	ow	41	
26	oy	42	
27	p	43	
28	q	46	
29	r	47	
30	s	48	
31	sh	49	
	zh	60	
32	t	50	
33	th	52	
34	uh	53	
35	uw	54	
	ux	55	
36	v	56	
37	w	57	
38	y	58	
39	z	59	
