0	31422
1	51358	
2	15945	
3	30582	
4	10281	
5	10345	
6	495	
7	21059	
8	29673	
9	375	
10	8252	
11	5464	
12	2067	
13	15617	
14	5300	
15	2723	
16	27512	
17	6709	
18	763	
19	4300	
20	242	
21	3426	
22	19968	
23	24462	
24	18501	
25	2234	
26	6703	
#27	160747	
28	4355	
29	5634	
30	29815	
31	27503	
32	49130
33	4663	
34	15660	
35	23577	
36	23432	
37	16254	
38	24641	
39	5558	
40	974	
41	22695	
42	9657	
43	6548	
44	15632	
45	13270	
46	16171	
47	26621	
48	69770	
49	21449	
50	12605	
51	23343	
52	5424	
53	3018	
54	4812	
55	16779	
56	8118	
57	14692	
58	7931	
59	24149	
60	930	
