0	11903
1	18283	
2	6196	
3	11925	
4	3318	
5	3945	
6	188	
7	8731	
8	10925	
9	169	
10	3619	
11	1728	
12	718	
13	5152	
14	2049	
15	961	
16	9957	
17	2514	
18	254	
19	1479	
20	25	
21	1287	
22	8099	
23	9095	
24	7627	
25	968	
26	2566	
#27	56967	
28	1699	
29	1811	
30	10084	
31	9598	
32	18616	
33	1499	
34	5189	
35	7959	
36	9757	
37	6346	
38	8621	
39	1905	
40	354	
41	8496	
42	3889	
43	2400	
44	6789	
45	4832	
46	5804	
47	10691	
48	24899	
49	7851	
50	4409	
51	7955	
52	1799	
53	1266	
54	1559	
55	4940	
56	2826	
57	6135	
58	3086	
59	8431	
60	495	
